Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:54,2022-12-21 16:15:54,0.002s,PASSED
,,,,,,,
Test Cases/Booking/Online Class/TC_Create,,,,2022-12-21 16:15:54,2022-12-21 16:15:56,1.915s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:54,2022-12-21 16:15:54,0.414s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:15:54,2022-12-21 16:15:54,0.003s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:15:54,2022-12-21 16:15:54,0.001s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:15:54,2022-12-21 16:15:54,0.000s,PASSED
Token = access_token,,,,2022-12-21 16:15:54,2022-12-21 16:15:54,0.000s,PASSED
globalVar = Token,,,,2022-12-21 16:15:54,2022-12-21 16:15:54,0.001s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/create book online/Create class with valid input""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:54,2022-12-21 16:15:55,0.376s,PASSED
"verifyResponseStatusCode(response, StatusCode201)",,,,2022-12-21 16:15:55,2022-12-21 16:15:55,0.003s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/create book online/Create with invalid input""))",,,,2022-12-21 16:15:55,2022-12-21 16:15:55,0.437s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:15:55,2022-12-21 16:15:55,0.004s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/create book online/Create with invalid Token""))",,,,2022-12-21 16:15:55,2022-12-21 16:15:56,0.438s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:15:56,2022-12-21 16:15:56,0.003s,PASSED
,,,,,,,
Test Cases/Booking/Online Class/TC_GetAllClass,,,,2022-12-21 16:15:56,2022-12-21 16:15:58,2.273s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:56,2022-12-21 16:15:56,0.409s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:15:56,2022-12-21 16:15:56,0.002s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:15:56,2022-12-21 16:15:56,0.001s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:15:56,2022-12-21 16:15:56,0.000s,PASSED
Token = access_token,,,,2022-12-21 16:15:56,2022-12-21 16:15:56,0.000s,PASSED
globalVar = Token,,,,2022-12-21 16:15:56,2022-12-21 16:15:56,0.000s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/get all booking class""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:15:56,2022-12-21 16:15:57,0.447s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:15:57,2022-12-21 16:15:57,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/With PATCH Method""))",,,,2022-12-21 16:15:57,2022-12-21 16:15:57,0.395s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:15:57,2022-12-21 16:15:57,0.004s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/With POST Method""))",,,,2022-12-21 16:15:57,2022-12-21 16:15:58,0.356s,PASSED
"verifyResponseStatusCode(response, StatusCode401)",,,,2022-12-21 16:15:58,2022-12-21 16:15:58,0.002s,PASSED
"response = sendRequest(findTestObject(""Booking/Online Book/See all boking class/With PUT Method""))",,,,2022-12-21 16:15:58,2022-12-21 16:15:58,0.413s,PASSED
